WEEK,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER
,"10 Step Ups (24"")(40/25)",5 Overhead Squat (115/75),12 Single Leg RDL (50/35),,10 Front Squats (135/85),250m Row,Min 1: 10 Front Rack Lunges (135/85),Shoulder Press (115/75),Kb Swings (70/55),,5 Thruster (115/75),Even: 15/12 Cal Row,12 Goblet Squats (55/35),8 Db Push Press (50's/35's),20 Kb Swings (70/55),Why imp? No chest strength | no kip | no pull up | no ttb | high risk of shoulder injury,100 Db Lunges (50's/35's),7 Thrusters (75/45),"Step Ups (24"")(40/25)",8 Deficit HSPU,20yd Kb Walking Lunge (55/35),,5 Db Thrusters (50's/35's),Wall Balls (20/14)
,20 V-Ups,8 Chest to Bar Pull Ups,20yd Side Step,,20yd Seal Drag,10 Kb Swing (70/55),Min 2: 20 Dubs,Chest to Bar Pull Ups,TTB,,:15 Overhead Hold (115/75),Odd: 15 Burpees,12/6 Dips,10yd Bear Crawl,10 Chin Ups (bw/banded),,then...,7 Pull Ups,Ring Push Up,20yd Broad Jump,Chest to Bar Pull Ups,,10 TTB,
,30 Dubs,15 Floor Press (115/75),40yd Waiters Carry (50/35),,10 TTB,10 Burpees,,,80yd Farmers Walk (AHAP),,10 Straight Leg Raises (10/5),Modify reps to reach a working period of about :45,,20 Dubs,:30 Boat Pose,,3rds,7 Burpees,,,Tuck Ups (15/10),,20 Dubs,5 Deadlift (225/155)
,,,,,,10 Kb Swing (70/55),,,,,,Better to make a mod at the beginning and stick to it | rather than change mid-WoD,,,,,10 Db Power Cleans (50's/35's),,,,,,,At the top of every min (starting at 1:00) 
,,,,,,10 Burpees,,,,,,,,,,,10 Hanging SLR,,,,,,,
,,,,,,10 Kb Swing (70/55),,,,,,,,,,,,,,,,,,
,,,,,,250m Row,,,,,,,,,,,,,,,,,,
,,,,,,--12min Rest--,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast,15min AMRAP,5rds; for time,20min AMRAP,,6rds; for time,3 rounds; MAX effort,EMOM for 16min,10min AMRAP; for max reps,20-15-10-5,,7rds; for time,EMOM for 30min,EMOM for 12min,12min AMRAP,5rds; for time,Push Ups,for time,EMOM for as long as possible,30-20-10; for time,10rds; for time,EMOM for 15min (alt ex ea min),Front Squats,15min AMRAP,7min AMRAP
,"10 Step Ups (20"")(25/15)",5 Overhead Squat (75/45),12 Single Leg RDL (40/25),,10 Front Squats (95/65),250m Row,Min 1: 10 Front Rack Lunges (95/65),Shoulder Press (95/65),Kb Swings (55/35),,5 Thruster (95/65),Even: 15/12 Cal Row,12 Goblet Squats (40/25),8 Db Push Press (40's/25's),20 Kb Swings (55/35),Why imp? No chest strength | no kip | no pull up | no ttb | high risk of shoulder injury,100 Db Lunges (40's/25's),7 Thrusters (75/45),"Step Ups (20"")(25/15)",8 HSPU,20yd Kb Walking Lunge (40/25),,5 Db Thrusters (40's/25's),Wall Balls (20/14)
,20 Tuck Ups,8 Pull Ups,20yd Side Step,,10yd Seal Drag,10 Kb Swing (70/55),Min 2: 20 Dubs,Pull Ups,KTE,,:15 Overhead Hold (95/65),Odd: 15 Burpees,12/6 Push Ups,10yd Bear Crawl,10 Chin Ups (bw/banded),,then...,7 Pull Ups,Push Up,20yd Broad Jump,Pull Up (bw/banded),,10 KTE,
,30 Dubs,15 Floor Press (75/45),40yd Waiters Carry (40/25),,10 KTE,10 Burpees,,,80yd Farmers Walk (AHAP),,10 Straight Leg Raises,Modify reps to reach a working period of about :45,,20 Dubs,:30 Boat Pose,,3rds,7 Burpees,,,Tuck Ups,,20 Dubs,5 Deadlift (225/155)
,,,,,,10 Kb Swing (70/55),,,,,,Better to make a mod at the beginning and stick to it | rather than change mid-WoD,,,,,10 Db Power Cleans (40's/25's),,,,,,,At the top of every min (starting at 1:00) 
,,,,,,10 Burpees,,,,,,,,,,,10 Hanging SLR,,,,,,,
,,,,,,10 Kb Swing (70/55),,,,,,,,,,,,,,,,,,
,,,,,,250m Row,,,,,,,,,,,,,,,,,,
,,,,,,--12min Rest--,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Foundation,15min AMRAP,5rds; for time,20min AMRAP,,6rds; for time,3 rounds; MAX effort,EMOM for 16min,10min AMRAP; for max reps,20-15-10-5,,7rds; for time,EMOM for 30min,EMOM for 12min,12min AMRAP,5rds; for time,Push Ups,for time,EMOM for as long as possible,30-20-10; for time,10rds; for time,EMOM for 15min (alt ex ea min),Front Squats,15min AMRAP,7min AMRAP
,"10 Step Ups (12"")(25/15)",5 Overhead Squat (pvc),12 Single Leg RDL (bw),,10 Front Squats (75/45),250m Row,Min 1: 10 Db Lunges (40/25),Shoulder Press (45/35),RDL's (25's/15's),,5 Db Thruster (25's/15's),Even: 15/12 Cal Row,12 Goblet Squats (25/15),8 Db Push Press (25's/15's),20 Kb Swings (35/25),Why imp? No chest strength | no kip | no pull up | no ttb | high risk of shoulder injury,100 Lunges (bw),7 Thrusters (45/35),"Step Ups (20"")(bw)",8 Down Dog HSPU,20yd Walking Lunge (bw),,5 Db Thrusters (25's/15's),Wall Ball Thrusters (20/14)
,20 EZ Curl Up,8 Ring Rows,20yd Side Step,,:30sec Plank,10 Kb Swing (70/55),Min 2: 60 Singles,Ring Rows,HKR,,:15 Overhead Hold (25's/15's),Odd: 15 Burpees,12/6 Incline Push Ups,10yd Bear Crawl,10 Bicep Curls (45/35),,then...,7 Ring Rows,Incline Push Up,10 Squat Jumps,Ring Rows,,10 HKR,
,90 Singles,15 Floor Press (45/35),40yd Waiters Carry (25/15),,10 HKR,10 Burpees,,,80yd Farmers Walk (AHAP),,10 Bent Leg Raises,Modify reps to reach a working period of about :45,,60 Singles,:30 Boat Pose,,3rds,7 Burpees (no push up),,,Tuck Ups,,60 Singles,5 Deadlift (135/85)
,,,,,,10 Kb Swing (70/55),,,,,,Better to make a mod at the beginning and stick to it | rather than change mid-WoD,,,,,10 Db Power Cleans (25's/15's),,,,,,,At the top of every min (starting at 1:00) 
,,,,,,10 Burpees,,,,,,,,,,,10 HKR,,,,,,,
,,,,,,10 Kb Swing (70/55),,,,,,,,,,,,,,,,,,
,,,,,,250m Row,,,,,,,,,,,,,,,,,,
,,,,,,--12min Rest--,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Out,2min Glute Bridge,1x max Shoulder Press (25's/15's),50 Rev Flys,,40 Bi's and Tri's,,60 Banded RDL's,60 IYT's,2min Plank (unbroken),,40 Bi's and Tri's,,3min Glute Bridge,1x max shoulder press (25's/15's),40 BPA's,,40 Bi's and Tri's,,60 Banded RDL's,1min Arm Circles (ea direction),50 St Arm Pulldowns,,40 Bi's and Tri's,4 Sled Push (110/55) (unbroken)
