WEEK,WEEK_1_PERFORMANCE,WEEK_1_PERFORMANCE,WEEK_1_PERFORMANCE,WEEK_1_PERFORMANCE,WEEK_1_PERFORMANCE,WEEK_1_PERFORMANCE,WEEK_2_PERFORMANCE,WEEK_2_PERFORMANCE,WEEK_2_PERFORMANCE,WEEK_2_PERFORMANCE,WEEK_2_PERFORMANCE,WEEK_2_PERFORMANCE,WEEK_3_PERFORMANCE,WEEK_3_PERFORMANCE,WEEK_3_PERFORMANCE,WEEK_3_PERFORMANCE,WEEK_3_PERFORMANCE,WEEK_3_PERFORMANCE,WEEK_4_PERFORMANCE,WEEK_4_PERFORMANCE,WEEK_4_PERFORMANCE,WEEK_4_PERFORMANCE,WEEK_4_PERFORMANCE,WEEK_4_PERFORMANCE
,Swing 5 |000lbs (CYOW),(20min time cap),200 Double Unders,Knee Circles,,"4 Box Jump (30""/24"")",for max dubs,Ring Dips,12 Overhead Lunge (25's/15's),Flexibility does not = stability,,for time,5 rds; for max reps,10 Db Sit Ups (40/25),100 reps,Why neck is imp/Gum chew,,300 Dubs,200m Run/Row,10 Dubs (+10ea rd),3 Squat Cleans (185/135),,,100 Renegades (40's/25's)
,:30sec Work Periods,8 Bench (70%),15 OHS (115/75),Side Hip Smash,,6 Push Press (165/115),Min 1: 15 Kb Swings/Dubs,HSPU,10 Wall Ball (20/14),BN Press,,70cal Row,Front Squats (165/125),8 Db Shoulder Press (Lft) (25/15),:30sec Max Burpees,Using tongue,,200 Tuck Ups,16 One Arm Db Thruster (50/35),3 Chest to Bar Pull Ups (+3ea rd),15 Ring Rows,,,Row (for cal)
,1min Planks ,Max Snatch Grip Pull Ups,,Hip Flexor Smash,,8 Toes to Bar,Min 2: 15 KTE/Dubs,Row (for cal),6 Pull Ups,Upper Back Roll,,60 Db Thrusters (50's/35's),Chin Ups,10 Db G2O (40/25),1min Side Planks,Neck Rolls,,100 Split Squats (55/35),10 Ring Dips,,,,,(100 Burpees | if 3rd person)
,,,,Pigeon Stretch,,,--repeat--,,,Lat Stretch,,50 Floor Press (155/105),,8 Db Shoulder Press (Rt) (25/15),,Iso Neck,,50 Ring Rows (feet on box),,,,,,
,You have 30 seconds to swing as many reps as possible.  Swing until you've accumulated 5 |000lbs w/ your chosen weight.  ,,,Side Splits,,Rest 3min then:,,,,Chest Smash,,40 Med Ball Sit Ups (20/14),,,,Trap Smash,,,,,,,,
,,,,Deadbug Red light/Green light,,100 Push Ups (for time),,,,Iso T Hold,,30 Ground to Overhead (155/105),,,,Scap Smash,,,,,,,,
,,,,Side Plank Red light/Green light,,,,,,Banded Iso Shoulder,,20 Box Jumps (30/24),,,,Scorpion Stretch,,,,,,,,
,,,,Iso Single leg Glute,,,,,,BN Press/BN Press in squat,,,,,,Pulse I's (superman position),,,,,,,,
,,,,,,,,,,,,,,,,Iso Wall Shoulder Press,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast,for time,6rds; for max reps,5rds,Hips don't lie,CrossFit Open 19.2,8min AMRAP,EMOM for 12min,5rds | 1min ea ex | 1min rest,14min AMRAP,(Shoulder Shimmy),CrossFit Open 19.3,Partner WoD,(15min time cap),12min AMRAP,(20min time cap),(Neck and Back),CrossFit Open 19.4,for time | CYOO,5rds; for time,10min AMRAP,Every 2min On the Minute for 20min,,CrossFit Open 19.5,Partner WoD; 12min time cap
,Swing 5 |000lbs (CYOW),(20min time cap),200 Singles,Every Exercise a screen,,"4 Box Jump (24""/20"")",for max dubs,Dips,12 Overhead Lunge (45/25),Flexibility does not = stability,,for time,5 rds; for max reps,10 Db Sit Ups (25/15),100 reps,Why neck is imp/Gum chew,,300 Dubs,200m Run/Row,10 Dubs (+10ea rd),3 Squat Cleans (155/105),,,100 Renegades (40's/25's)
,:30sec Work Periods,8 Bench (60%),15 OHS (95/65),Knee Circles,,6 Push Press (135/85),Min 1: 15 Kb Swings/Dubs,HSPU,10 Wall Ball (20/14),BN Press,,70cal Row,Front Squats (135/95) ,8 Db Shoulder Press (Lft) (25/15),:30sec Max Burpees,Using tongue,,200 Tuck Ups,16 One Arm Db Thruster (40/25),3 Pull Ups (+3ea rd),15 Ring Rows,,,Row (for cal)
,1min Planks ,Max Snatch Grip Pull Ups,,Side Hip Smash,,8 Toes to Bar,Min 2: 15 KTE/Dubs,Row (for cal),6 Pull Ups,Upper Back Roll,,60 Db Thrusters (40's/25's),Chin Ups,10 Db G2O (25/15),1min Side Planks,Neck Rolls,,100 Split Squats (40/25),10 Push Ups,,,,,(100 Burpees | if 3rd person)
,,,,Hip Flexor Smash,,,--repeat--,,,Lat Stretch,,50 Floor Press (135/85),,8 Db Shoulder Press (Rt) (25/15),,Iso Neck,,50 Ring Rows (as low as possible),,,,,,
,You have 30 seconds to swing as many reps as possible.  Swing until you've accumulated 5 |000lbs w/ your chosen weight.  ,,,Pigeon Stretch,,Rest 3min then:,,,,Chest Smash,,40 Med Ball Sit Ups (20/14),,,,Trap Smash,,,,,,,,
,,,,Side Splits,,100 Push Ups (for time),,,,Iso T Hold,,30 Ground to Overhead (135/85),,,,Scap Smash,,,,,,,,
,,,,Deadbug Red light/Green light,,,,,,Banded Iso Shoulder,,20 Box Jumps (24/20),,,,Scorpion Stretch,,,,,,,,
,,,,Side Plank Red light/Green light,,,,,,BN Press/BN Press in squat,,,,,,Pulse I's (superman position),,,,,,,,
,,,,Iso Single leg Glute,,,,,,,,,,,,Iso Wall Shoulder Press,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Foundation,for time,6rds; for max reps,5rds,Hips don't lie,CrossFit Open 19.2,8min AMRAP,EMOM for 12min,5rds | 1min ea ex | 1min rest,14min AMRAP,(Shoulder Shimmy),CrossFit Open 19.3,Partner WoD,(15min time cap),12min AMRAP,(20min time cap),(Neck and Back),CrossFit Open 19.4,for time | CYOO,5rds; for time,10min AMRAP,Every 2min On the Minute for 20min,,CrossFit Open 19.5,Partner WoD; 12min time cap
,Swing 5 |000lbs (CYOW),(20min time cap),150 Singles,Every Exercise a screen,,"4 Box Jump (20"")",for max dubs,Knee Push Ups,12 Overhead Lunge (bw),Flexibility does not = stability,,for time,5 rds; for max reps,10 Db Sit Ups (15/10),100 reps,Why neck is imp/Gum chew,,400 Singles,200m Run/Row,30 Singles (+10ea rd),3 Muscle Cleans (95/65),,,100 Renegades (25's/15's)
,:30sec Work Periods,8 Bench (75/45),15 OHS to Box (pvc),Knee Circles,,6 Push Press (95/65),Min 1: 15 Db RDL (40/25)/Singles,Down Dog HSPU,10 Wall Ball Thrusters (20/14),BN Press,,70cal Row,Goblet Squat (55/35),8 Db Shoulder Press (Lft) (25/15),:30sec Max Burpees (no push up),Using tongue,,200 Tuck Ups,16 One Arm Db Thruster (25/15),3 Ring Rows (+3ea rd),15 Ring Rows,,,Row (for cal)
,1min Planks ,Max Snatch Grip Bent Over Rows (AHvyAP),,Side Hip Smash,,8 Hanging Knee Raises,Min 2: 15 HKR/Singles,Row (for cal),6 Ring Rows,Upper Back Roll,,60 Db Thrusters (25's/15's),Ring Curls,10 Db G2O (15/10),1min Side Planks,Neck Rolls,,100 Split Squats (bw),10 Knee Push Ups,,,,,(100 Burpees (no push up) | if 3rd person)
,,,,Hip Flexor Smash,,,--repeat--,,,Lat Stretch,,50 Push Ups,,8 Db Shoulder Press (Rt) (25/15),,Iso Neck,,50 Ring Rows (as low as possible),,,,,,
,You have 30 seconds to swing as many reps as possible.  Swing until you've accumulated 5 |000lbs w/ your chosen weight.  ,,,Pigeon Stretch,,Rest 3min then:,,,,Chest Smash,,40 Sit Ups,,,,Trap Smash,,,,,,,,
,,,,Side Splits,,100 Push Ups (for time),,,,Iso T Hold,,30 Ground to Overhead (95/65),,,,Scap Smash,,,,,,,,
,,,,Deadbug Red light/Green light,,,,,,Banded Iso Shoulder,,"20 Box Step Ups (20"")",,,,Scorpion Stretch,,,,,,,,
,,,,Side Plank Red light/Green light,,,,,,BN Press/BN Press in squat,,,,,,Pulse I's (superman position),,,,,,,,
,,,,Iso Single leg Glute,,,,,,,,,,,,Iso Wall Shoulder Press,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,2min Max Dubs,60 IYT's,60yd Bear Crawl,Tempo Squats,30 Bi's/Tri's,Max Db Shoulder Press,30 GHD's,:30ea arm circles (sm | m | l),80yd Side Step,30 Lateral Raises (10's/5's),30 Bi's and Tri's,Prowler Challenge #1,30 GHD,60 IYT's,1min Samson St (ea side),2min Overhead Hold,20 Bi's and Tri's,3x Sled Push (AHAP),30 GHD (15/10),1min Dip Support,1min Couch Mobility (ea leg),,30 Bi's and Tri's,Prowler Challenge #1
