WEEK,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER
,Max reps Deadlift (75% of max),max effort; :45sec,Burpees,,,,,,"Step Ups (24"")(40's/25's)",,Row (cal),,10 Push Ups,Min 2:,,,80 Sit Ups,20 Banded Push Ups,Sit Ups,30 Heel Touches,,Tuck Ups,40 Lunges,
,12min AHvyAP,Run or Shuttle Sprints,,,,,,,Push Ups,,,,,6 Db Shoulder Press (50's/35's),,,:70sec Dead Hang,"20 Step Ups (20"")(40/25)",*50 Dubs Before each round,20 Apollo Ohno's,*EMOM 5 Burpees | then squat,Side Planks (ea side),20 Kb Swings,
,1 Bench Press Max,Measure HR after and at 1 | 2 | and 3 mins,,,,,,,"Step Ups (24"")(25's/15's)",,,,,10 Straight Leg Raises,,,:60sec Side Planks (ea side),20 Sit Ups,,10 Frontal (20's/10's),**If able(25-40lb/15-25lbs),Leg Flutters (low),40 Burpees,
,1 round,,,,,,,,Push Ups,,,,,,,,50 Push Ups,200m Row,,10 Lateral Raises (20's/10's),,,60 Dubs,
,Max reps Bench (75% of max),,,,,,,,"Step Ups (24"")",,,,,*Repeat this cycle until you reach a total of 80 chin ups,,,40 Squats,,,10 Rev Flys (20's/10's),,,80 Squats,
,,,,,,,,,Push Ups,,,,,,,,30 V-Ups,,,,,,,
,,,,,,,,,,,,,,,,,20 Burpees,,,,,,,
,,,,,,,,,,,,,,,,,10 Muscle Ups,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast,15min AHvyAP ,20min; pass/fail,5rds; 1min ea station; max reps,,EMOM for as long as possible,EMOM for 12min,10min | for total max reps,10min | for total max reps,10-20-30-40; for time,,21-15-9; for time,EMOM for 12min,5rds; for time,EMOM,3rds; for time,,for time,4 rounds; for time,for time; 50-40-30-20,3 rounds; for time,For time*,2rds; 1min ea,for time,
,3 Deadlift Max ,Run or row,Row (for cal),,Goblet Squats (55/35),5 Chin Ups (bw),Min 1: Lunges (40's/25's),Min 1: Pull Ups (on box),"Step Ups (20"")(40's/25's)",,Push Press (135/75),4 Thrusters (115/75),8 Front Squats (135/85),Min 1:,10 RDL's (155/95),,50 Dubs,20 Burpees (on knees),Lunges,50 Hollow Rocks,,Bicycles,80 Sit Ups,
,1 round ,then,Dubs,,*till technical failure,15 Dubs,Min 2: Squats,Min 2: Shoulder Press (75/45),Push Ups,,Ring Dips (toe support),2 Pull Ups,10 Glute Bridge Walkouts,Max Chin Ups (bw/band),12 Eccentric Dragon Flags,,90 Lunges,20 Squats,Knee Push Ups,:40 Handstand Hold,200 Squats,Alternating Leg Lifts,60 Push Ups (knees),
,Max reps Deadlift (75% of max) ,max effort; :45sec,Burpees (on knees),,,,,,"Step Ups (20"")(25's/15's)",,Row (cal),,10 Knee Push Ups,Min 2:,,,80 Sit Ups,20 Push Ups,Sit Ups,30 Heel Touches,,Tuck Ups,40 Lunges,
,12min AHvyAP ,Run or Shuttle Sprints,,,,,,,Push Ups,,,,,6 Db Shoulder Press (40's/25's),,,:70sec Dead Hang,"20 Step Ups (20"")",*25 Dubs before each round,20 Apollo Ohno's,*EMOM 3 Burpees | then squat,Side Planks (ea side),20 Kb Swings or Jump Squats,
,3 Bench Max ,Measure HR after and at 1 | 2 | and 3 mins,,,,,,,"Step Ups (20"")(15's/10's)",,,,,10 Straight Leg Raises,,,:60sec Side Planks (ea side),20 Sit Ups,,10ea Frontal (10's/5s),,Leg Flutters (med),40 Burpees (on knees),
,1 round,,,,,,,,Push Ups,,,,,,,,50 Push Ups,200m Row,,10 Lateral Raises (10's/5's),,,30 Dubs,
,Max reps Bench (75% of max) ,,,,,,,,"Step Ups (20"")",,,,,*Repeat this cycle until you reach a total of 80 chin ups,,,40 Squats,,,10 Rev Flys (10's/5's),,,80 Squats,
,,,,,,,,,Push Ups,,,,,,,,30 V-Ups,,,,,,,
,,,,,,,,,,,,,,,,,20 Burpees,,,,,,,
,,,,,,,,,,,,,,,,,10 Pull Ups,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Foundation,15min AHvyAP,20min; pass/fail,5rds; 1min ea station; max reps,,EMOM for as long as possible,EMOM for 12min,10min | for total max reps,10min | for total max reps,10-20-30-40; for time,,21-15-9; for time,EMOM for 12min,5rds; for time,EMOM,3rds; for time,,for time,4 rounds; for time,for time; 50-40-30-20,3rds; for time,For time*,2rds; 1min ea,for time,
,3-5 Deadlift Max,Run or row,Row (for cal),,Bodyweight Squats,5 Ring Curls,Min 1: Lunges,Min 1: Ring Rows,"Step Ups (20"")(25's/15's)",,Push Press (95/65),4 Db Thrusters (40's/25's),8 Goblet Squat (40/25),Min 1:,10 RDL's (115/75),,100 Singles,20 Burpees (no push up),Lunges,2min Hollow Hold,,Bicycles (no upper body),80 Crunches,
,3min AMRAP,then,Singles,,*till technical failure,30 Singles,Min 2: Squats,Min 2: Shoulder Press (45/35),Incline Push Ups,,Box Dip Hold (seconds | x2 reps),2 Ring Pull Ups,1min Glute Bridge,Max Ring Chin Ups,12 Candlesticks,,90 Split Squats,20 Squats (to box),Incline Push Ups,:40 Down Dog Handstand Hold,200 Body Weight Squats to box,Alternating Leg Lifts,60 Incline Push Ups,
,Max Deadlift (75% of max),max effort; :45sec,Burpees (no push up),,,,,,"Step Ups (20"")(15's/10's)",,Row (cal),,10 Incline Push Ups,Min 2:,,,80 Crunches,20 Incline Push Ups,Crunches,30 Heel Touches,,Crunches,40 Split Squats,
,12min AHvyAP,Row or Shuttle Sprints,,,,,,,Incline Push Ups,,,,,6 Db Shoulder Press (25's/15's),,,:70sec Dead Hang (any grip),20 Step Ups (AHiAP),*50 Singles before each round,20 Side Steps,*EMOM 3 Burpees (no push up) | then squat,Side Plank (:30ea side),20 Jump Squats,
,3-5 Bench Press Max,Measure HR after and at 1 | 2 | and 3 mins,,,,,,,"Step Ups (20"")(10's/5's)",,,,,10 Hip Hikes,,,:60sec Side Planks (ea side),20 Crunches,,10 Frontal Raises (5's/2.5's),,Leg Flutters (high),40 Burpees (no push up),
,1 round,,,,,,,,Incline Push Ups,,,,,,,,50 Incline Push Ups,200m Row,,10 Lateral Raises (5's/2.5's),,,60 Singles,
,Max reps Bench (75% of max),,,,,,,,"Step Ups (20"")",,,,,*Repeat this cycle until you reach a total of 80 chin ups,,,40 Squats to box,,,10 Rev Flys (5's/2.5's),,,80 Squats (to box),
,,,,,,,,,Incline Push Ups,,,,,,,,30 Tuck Ups (legs only),,,,,,,
,,,,,,,,,,,,,,,,,20 Burpees (no push up),,,,,,,
,,,,,,,,,,,,,,,,,10 Ring Rows,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,15min AHvyAP,20min; pass/fail,5rds; 1min ea station; max reps,,EMOM for as long as possible,EMOM for 12min,10min | for total max reps,10min | for total max reps,10-20-30-40; for time,,21-15-9; for time,EMOM for 12min,5rds; for time,EMOM,3rds; for time,,for time,4 rounds; for time,for time; 50-40-30-20,3 rounds; for time,For time*,2rds; 1min ea,for time,
,3-5 Leg Extension Max,Run or row,Row (for cal),,Goblet Squats (AHvyAP),5 Chin Ups (bw),Min 1: Lunges (AHvyAP),Min 1: Pull Ups,"Step Ups (20"")(AHvyAP)",,Handstand Hold (seconds | x2 reps),5 Burpees,15 Squats (bw),Min 1:,10 RDL's (AHvyAP),,50 Dubs,20 Burpees (on knees),Lunges,50 Hollow Rocks,,Bicycles,80 Sit Ups,
,3min AMRAP,then,Singles,,*till technical failure,15 Dubs,Min 2: Squats ,Min 2: Down Dog HSPU,Push Ups,,Box Dip Hold (seconds | x2 reps),3 Pull Ups,10 Glute Bridge Walkouts,Max Bicep Curls (AHvyAP),12 Eccentric Dragon Flags,,90 Lunges,20 Squats,Push Ups,:40 Handstand Hold,200 Squats,Alternating Leg Lifts,60 Push Ups (knees),
,Max rep Leg Ext (75% of Max),max effort; :45sec,Burpees (no push up),,,,,,"Step Ups (20"")(AHvyAP)",,Burpees,,10 Push Ups,Min 2:,,,80 Sit Ups,20 Push Ups,Sit Ups,30 Heel Touches,,Tuck Ups,40 Lunges,
,12min AHvyAP,Run or Shuttle Sprints,,,,,,,Push Ups,,,,,5 Down Dog HSPU,,,:70sec Dead Hang,"20 Step Ups (20"")",*50 Jumping Jacks before ea rd,20 Apollo Ohno's,*EMOM 3 Burpees | then squat,Side Planks (ea side),20 Kb Swings or Jump Squats,
,3-5 Bench Press Max,Measure HR after and at 1 | 2 | and 3 mins,,,,,,,"Step Ups (20"")(AHvyAP)",,,,,10 Straight Leg Raises,,,:60sec Side Planks (ea side),20 Sit Ups,,10ea Frontal (10's/5s),,Leg Flutters (med),40 Burpees (on knees),
,3min AMRAP,,,,,,,,Push Ups,,,,,,,,50 Push Ups,200m Row/Run,,10 Lateral Raises (10's/5's),,,30 Dubs,
,Bench Press (75% of Max),,,,,,,,"Step Ups (20"")",,,,,,,,40 Squats,,,10 Rev Flys (10's/5's),,,80 Squats,
,,,,,,,,,Push Ups,,,,,,,,30 V-Ups,,,,,,,
,,,,,,,,,,,,,,,,,20 Burpees,,,,,,,
,,,,,,,,,,,,,,,,,10 Pull Ups,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Out,Max Deadhang,2min Couch,6min Abs,,50 Banded Side Steps,3min Planks,2min Pigeon,2min Scorpion St,2min Wall Sit,,30ea Front/Lat/Rev Flys,3rds Sled Push,2min Child's Pose,3min Arm Circles,5min Abs,,WoDLuck,2min World's Greatest,1min HKR or SLR,2min Scorpion St,3min Couch Mobility (ea),2min Prone Cobra,4min Plank,
